"","Team","GM","Team.Payroll","Winning..","Year","Wins","Median.Payroll.by.Year"
"1","Arizona DBacks","Joe Garagiola",31614500,0.401,1998,65,43894495
"2","Arizona DBacks","Joe Garagiola",70496000,0.617,1999,100,46066376
"3","Arizona DBacks","Joe Garagiola",81027833,0.525,2000,85,56543084
"4","Arizona DBacks","Joe Garagiola",81206513,0.568,2001,92,62847834
"5","Arizona DBacks","Joe Garagiola",102820000,0.605,2002,98,61107577
"6","Arizona DBacks","Joe Garagiola",80640333,0.519,2003,84,68979834
"7","Arizona DBacks","Joe Garagiola",70204984,0.315,2004,51,62207785
"8","Arizona DBacks","Josh Byrnes",63015834,0.475,2005,77,66007009
"9","Arizona DBacks","Josh Byrnes",59684226,0.469,2006,76,72250291
"10","Arizona DBacks","Josh Byrnes",52067546,0.556,2007,90,84616817
"11","Arizona DBacks","Josh Byrnes",66202712,0.506,2008,82,79953783
"12","Arizona DBacks","Josh Byrnes",73571667,0.432,2009,70,81309612
"13","Arizona DBacks","Josh Byrnes",60718167,0.401,2010,65,84325334
"14","Arizona DBacks","Kevin Towers",53639833,0.58,2011,94,86713896
"15","Arizona DBacks","Kevin Towers",74284833,0.5,2012,81,85753488
"16","Arizona DBacks","Kevin Towers",89100500,0.5,2013,81,90385763
"17","Arizona DBacks","Kevin Towers/Dave Stewart",112688666,0.395,2014,64,105625715
"18","Arizona DBacks","Dave Stewart",76639242,0.488,2015,79,122453376
"19","Atlanta Braves","John Schuerholz",61708000,0.654,1998,106,43894495
"20","Atlanta Braves","John Schuerholz",74890000,0.636,1999,103,46066376
"21","Atlanta Braves","John Schuerholz",84537836,0.586,2000,95,56543084
"22","Atlanta Braves","John Schuerholz",91851687,0.543,2001,88,62847834
"23","Atlanta Braves","John Schuerholz",93470367,0.631,2002,102,61107577
"24","Atlanta Braves","John Schuerholz",106243667,0.623,2003,101,68979834
"25","Atlanta Braves","John Schuerholz",88507788,0.593,2004,96,62207785
"26","Atlanta Braves","John Schuerholz",85148582,0.556,2005,90,66007009
"27","Atlanta Braves","John Schuerholz",90156876,0.488,2006,79,72250291
"28","Atlanta Braves","John Schuerholz",87290833,0.519,2007,84,84616817
"29","Atlanta Braves","Frank Wren",102365683,0.444,2008,72,79953783
"30","Atlanta Braves","Frank Wren",96726167,0.531,2009,86,81309612
"31","Atlanta Braves","Frank Wren",84423667,0.562,2010,91,84325334
"32","Atlanta Braves","Frank Wren",87003192,0.549,2011,89,86713896
"33","Atlanta Braves","Frank Wren",83309942,0.58,2012,94,85753488
"34","Atlanta Braves","Frank Wren",89778192,0.593,2013,96,90385763
"35","Atlanta Braves","Frank Wren/John Hart",110897341,0.488,2014,79,105625715
"36","Atlanta Braves","John Hart",111081246,0.414,2015,67,122453376
"37","Baltimore Orioles","Pat Gillick",71860921,0.488,1998,79,43894495
"38","Baltimore Orioles","Frank Wren",72198363,0.481,1999,78,46066376
"39","Baltimore Orioles","Syd Thrift",81447435,0.457,2000,74,56543084
"40","Baltimore Orioles","Syd Thrift",72426328,0.391,2001,63,62847834
"41","Baltimore Orioles","Syd Thrift",60493487,0.414,2002,67,61107577
"42","Baltimore Orioles","Jim Beattie and Mike Flanagan",73877500,0.438,2003,71,68979834
"43","Baltimore Orioles","Jim Beattie and Mike Flanagan",51212653,0.481,2004,78,62207785
"44","Baltimore Orioles","Jim Beattie and Mike Flanagan",74570539,0.457,2005,74,66007009
"45","Baltimore Orioles","Mike Flanagan",72585582,0.432,2006,70,72250291
"46","Baltimore Orioles","Mike Flanagan and Andy MacPhail",93554808,0.426,2007,69,84616817
"47","Baltimore Orioles","Andy MacPhail",67196246,0.422,2008,68,79953783
