"","Player","FGP_1997","FGP_1998","FGP_1999","FGP_2000","FGP_2001","FGP_2002","FGP_2003","FGP_2004","FGP_2005","FGP_2006","FGP_2007","FGP_2008","FGP_2009","FGP_2010","FGP_2011","FGP_2012","FGP_2013","FGP_2014","FGP_2015","FGP_2016"
"1","A.C. Green",0.483471074380165,0.453183520599251,0.421875,0.44702842377261,0.444444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","A.J. Price",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.409604519774011,0.35625,NA,0.389830508474576,NA,0.372262773722628,NA
"3","Aaron Brooks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.403575989782886,0.432006010518407,0.374787052810903,NA,0.45253164556962,0.401032702237522,0.421052631578947,0.400852878464819
"4","Aaron Gordon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.473229706390328
"5","Aaron Gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.504901960784314,NA,NA,NA,NA,NA,NA,NA,NA
"6","Aaron McKie",0.410958904109589,0.364829396325459,NA,0.411467116357504,0.473389355742297,0.448979591836735,0.429429429429429,0.459272097053726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Aaron Williams",0.574324324324324,0.522727272727273,NA,0.522222222222222,0.456923076923077,0.52619589977221,0.453302961275626,0.502923976608187,NA,0.517045454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Acie Earl",0.372222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Acie Law",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435483870967742,NA,NA,NA,NA,NA
"10","Adam Keefe",NA,0.540094339622642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Adam Morrison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.376059322033898,NA,0.358744394618834,NA,NA,NA,NA,NA,NA,NA
"12","Adonal Foyle",NA,NA,NA,0.507894736842105,0.416,0.444155844155844,0.536231884057971,NA,0.501607717041801,0.506666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Adreian Payne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.413636363636364,NA
"14","Adrian Griffin",NA,NA,NA,0.423728813559322,NA,0.498607242339833,0.433234421364985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Al Harrington",NA,NA,NA,0.458333333333333,0.443830570902394,0.475206611570248,0.434151785714286,0.463146314631463,0.459432048681542,0.451639344262295,0.457063711911357,0.434452871072589,0.438943894389439,0.43495145631068,0.416296296296296,0.446313065976714,NA,NA,NA,NA
"16","Al Horford",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.498502994011976,0.525252525252525,0.551357733175915,0.55700325732899,NA,0.543396226415094,0.566666666666667,0.537823834196891,0.504770992366412
"17","Al Jefferson",NA,NA,NA,NA,NA,NA,NA,NA,0.528455284552846,0.49868073878628,0.513605442176871,0.500346981263012,0.497435897435897,0.497777777777778,0.495830174374526,0.49236641221374,0.494336569579288,0.508720930232558,0.481188118811881,0.485148514851485
"18","Al Thornton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42939150401837,0.446241674595623,0.473372781065089,0.475638051044084,NA,NA,NA,NA,NA
"19","Al-Farouq Aminu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.394088669950739,0.410958904109589,0.474683544303797,0.473684210526316,0.411764705882353,0.415855354659249
"20","Alan Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383116883116883,0.4,0.443181818181818,NA
"21","Alan Henderson",NA,0.48472775564409,0.442080378250591,0.461290322580645,0.444113263785395,NA,0.467889908256881,NA,0.527272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Alec Burks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.428571428571429,0.420103092783505,0.457280385078219,0.403333333333333,0.410179640718563
"23","Alex Len",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.507082152974504,0.423076923076923
"24","Alexey Shved",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.371653543307087,NA,0.397014925373134,NA
"25","Alexis Ajinca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.443609022556391,NA,NA,0.546184738955823,0.550151975683891,0.476190476190476
"26","Allan Houston",0.423449612403101,0.447141738449491,0.418207681365576,0.483084185680566,0.448675496688742,0.436587240584166,0.445051194539249,0.435339308578745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Allan Ray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.386100386100386,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Allen Crabbe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.458702064896755
"29","Allen Iverson*",0.415558510638298,0.461265103056148,0.411931818181818,0.42065781881131,0.420297848869277,0.398442180946675,0.414432989690722,0.386666666666667,0.424092409240924,0.447310647639956,0.442498095963442,0.457583547557841,0.41726618705036,0.430379746835443,NA,NA,NA,NA,NA,NA
"30","Alonzo Gee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.458333333333333,0.411978221415608,0.40994623655914,NA,0.467741935483871,0.517647058823529
"31","Alonzo Mourning*",0.534463276836158,0.550546448087432,0.511041009463722,0.550675675675676,NA,0.516166281755196,NA,NA,0.471698113207547,0.596825396825397,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Alvin Williams",NA,0.443262411347518,NA,0.397212543554007,0.430247718383312,0.415036045314109,0.437569060773481,0.405241935483871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Amar'e Stoudemire",NA,NA,NA,NA,NA,NA,0.472289156626506,0.47514450867052,0.559131736526946,NA,0.575355450236967,0.589595375722543,0.539385847797063,0.556962025316456,0.502024291497976,0.483180428134557,0.576779026217228,0.557347670250896,0.557142857142857,0.565610859728507
"34","Amir Johnson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.622754491017964,0.567676767676768,0.576470588235294,0.554455445544555,0.562091503267974,0.574181117533719,0.584507042253521
"35","Anderson Varejao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.476309226932668,0.461016949152542,0.535714285714286,0.571734475374732,0.527777777777778,0.513513513513513,0.477508650519031,0.494553376906318,0.555,0.42741935483871
"36","Andray Blatche",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.473880597014925,0.471428571428571,0.478478478478478,0.445141065830721,NA,0.511834319526627,0.476261127596439,NA,NA
"37","Andre Drummond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.608187134502924,0.622886866059818,0.514047866805411,0.520754716981132
"38","Andre Iguodala",NA,NA,NA,NA,NA,NA,NA,NA,0.492673992673993,0.5,0.447023208879919,0.455755677368833,0.472537053182214,0.442857142857143,0.44532279314888,0.454113924050633,0.450511945392491,0.480349344978166,0.465725806451613,0.478260869565217
"39","Andre Miller",NA,NA,NA,0.449006622516556,0.452452452452452,0.453588516746411,0.40625,0.456960680127524,0.477094972067039,0.463302752293578,0.466446644664466,0.492214532871972,0.472622478386167,0.444933920704846,0.459715639810427,0.438405797101449,0.479430379746835,0.458874458874459,0.5,0.556603773584906
"40","Andre Roberson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.496350364963504
"41","Andrea Bargnani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4272,0.386206896551724,0.449895615866388,0.469816272965879,0.447570332480818,0.431818181818182,0.39906103286385,0.442231075697211,0.454293628808864,0.455197132616487
"42","Andrei Kirilenko",NA,NA,NA,NA,NA,0.450236966824645,0.490654205607477,0.442534908700322,0.492857142857143,0.46027397260274,0.471291866028708,0.505514705882353,0.449122807017544,0.506224066390041,0.466789667896679,NA,0.507142857142857,NA,NA,NA
"43","Andres Nocioni",NA,NA,NA,NA,NA,NA,NA,NA,0.400998336106489,0.460890493381468,0.467465753424658,0.432155074116306,0.426533523537803,0.398637137989779,0.425992779783394,NA,NA,NA,NA,NA
"44","Andrew Bogut",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533003300330033,0.553259141494436,0.510989010989011,0.577287066246057,0.51978021978022,0.494609164420485,NA,NA,0.626666666666667,0.563380281690141,0.627240143369176
"45","Andrew Bynum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.557562076749436,0.636363636363636,0.559760956175299,0.569767441860465,0.573849878934625,0.557788944723618,NA,0.417777777777778,NA,NA
"46","Andrew DeClercq",0.52014652014652,0.497058823529412,0.5,0.507900677200903,0.55440414507772,NA,0.53405017921147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Andrew Lang",0.463709677419355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Andrew Nicholson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526748971193416,0.428571428571429,NA,0.470967741935484
"49","Andrew Wiggins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.437115215479332,0.459041731066461
"50","Andris Biedrins",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.637837837837838,0.598967297762478,0.626151012891344,0.577861163227017,NA,0.533834586466165,NA,NA,NA,NA,NA
"51","Anfernee Hardaway",0.447396386822529,0.377289377289377,0.419804741980474,0.473684210526316,NA,0.417830290010741,0.446771378708551,0.410898379970545,0.423076923076923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Antawn Jamison",NA,NA,0.451776649746193,0.470899470899471,0.441501103752759,0.446545454545455,0.46974847042828,0.534501642935378,0.43650126156434,0.441767068273092,0.449517120280948,0.436132674664785,0.467730742539903,0.461389961389961,0.426940639269406,0.403256704980843,0.464347826086957,NA,NA,NA
"53","Anthony Bennett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.420875420875421,NA
"54","Anthony Carter",NA,NA,NA,0.394891944990177,0.40625,NA,NA,NA,NA,NA,NA,0.457983193277311,0.432642487046632,NA,NA,NA,NA,NA,NA,NA
"55","Anthony Davis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.516272189349112,0.519402985074627,0.535446205170976,0.492957746478873
"56","Anthony Goldwire",0.396969696969697,0.422955974842767,NA,NA,NA,NA,NA,NA,0.419117647058824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Anthony Johnson",NA,0.371100164203612,NA,0.378048780487805,0.348684210526316,NA,0.445887445887446,0.40632603406326,0.445175438596491,0.442786069651741,0.41399416909621,0.436619718309859,0.404199475065617,NA,NA,NA,NA,NA,NA,NA
"58","Anthony Mason",0.524848484848485,0.509162303664921,NA,0.479576399394856,0.482180293501048,0.504792332268371,0.486005089058524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Anthony Morrow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47752808988764,0.467994310099573,0.45,0.413373860182371,0.441379310344828,0.457692307692308,0.463414634146341,0.408408408408408
"60","Anthony Parker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477438136826783,0.476477683956574,0.425729442970822,0.433684210526316,0.398550724637681,0.432515337423313,NA,NA,NA,NA
"61","Anthony Peeler",0.397626112759644,0.452380952380952,0.378676470588235,0.435862068965517,0.420765027322404,0.421052631578947,0.413793103448276,0.448275862068966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Anthony Randolph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.461716937354988,0.44336569579288,0.465909090909091,NA,NA,NA,NA,NA
"63","Anthony Tolliver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.429844097995546,0.450479233226837,NA,NA,0.420195439739414,0.409669211195929,0.385542168674699
"64","Antoine Carr",0.482758620689655,0.464615384615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Antoine Walker",0.425406203840473,0.423460410557185,0.412244897959184,0.430278884462151,0.413372093023256,0.394316163410302,0.388030888030888,0.427812223206377,0.421931735657226,0.435412026726058,0.396706586826347,0.362666666666667,NA,NA,NA,NA,NA,NA,NA,NA
"66","Antoine Wright",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.438247011952191,0.413373860182371,0.415313225058005,0.406015037593985,NA,NA,NA,NA,NA,NA
"67","Antonio Daniels",NA,0.416058394160584,NA,0.473837209302326,0.467687074829932,0.439542483660131,NA,0.469849246231156,0.438202247191011,0.418181818181818,0.442159383033419,0.458612975391499,0.419491525423729,NA,NA,NA,NA,NA,NA,NA
"68","Antonio Davis",0.480499219968799,0.481060606060606,0.471264367816092,0.439606741573034,0.433025404157044,0.425752855659398,0.407176287051482,0.403030303030303,0.460620525059666,0.431578947368421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Antonio McDyess",0.463267070008643,0.5361380798274,0.470521541950113,0.507018992568126,0.495278969957082,NA,NA,0.470149253731343,0.513377926421405,0.508928571428571,0.525925925925926,0.488333333333333,0.510476190476191,0.478971962616822,0.491279069767442,NA,NA,NA,NA,NA
"70","Archie Goodwin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.417061611374408
"71","Armen Gilliam",0.471264367816092,0.483727810650888,0.452914798206278,0.436065573770492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Aron Baynes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565749235474006,0.505208333333333
