Season,Player,Age,Pos,Tm,GP,G,A,PTS,PlusMinus,PIM,EV,PP,SH,GW,EV,PP,SH,S,SP,TOI
2015,Patrick Kane,27,RW,CHI,82,46,60,106,17,30,29,17,0,9,40,20,0,287,16,1674
2015,Jamie Benn,26,LW,DAL,82,41,48,89,7,64,22,17,2,5,32,13,3,247,16.6,1642
2015,Sidney Crosby,28,C,PIT,80,36,49,85,19,42,26,10,0,9,35,14,0,248,14.5,1638
2015,Joe Thornton,36,C,SJS,82,19,63,82,25,54,11,8,0,6,42,21,0,121,15.7,1506
2015,Erik Karlsson,25,D,OTT,82,16,66,82,-2,50,15,1,0,3,41,25,0,248,6.5,2375
2015,Joe Pavelski,31,C,SJS,82,38,40,78,25,30,26,12,0,11,24,16,0,224,17,1625
2015,John Gaudreau,22,LW,CGY,79,30,48,78,4,20,24,6,0,6,33,15,0,217,13.8,1575
2015,Blake Wheeler,29,RW,WPG,82,26,52,78,8,49,21,3,2,5,36,14,2,256,10.2,1623
2015,Artemi Panarin,24,LW,CHI,80,30,47,77,8,32,22,8,0,7,31,16,0,187,16,1482
2015,Evgeny Kuznetsov,23,C,WSH,82,20,57,77,27,32,15,5,0,4,44,13,0,193,10.4,1428
2015,Brent Burns,30,D,SJS,82,27,48,75,-5,53,19,7,1,4,24,23,1,353,7.6,2121
2015,Vladimir Tarasenko,24,RW,STL,80,40,34,74,7,37,28,12,0,7,22,12,0,292,13.7,1491
2015,Anze Kopitar,28,C,LAK,81,25,49,74,34,16,19,5,1,8,34,13,2,177,14.1,1690
2015,Tyler Seguin,24,C,DAL,72,33,40,73,2,16,26,7,0,6,23,17,0,278,11.9,1400
2015,Alex Ovechkin,30,LW,WSH,79,50,21,71,21,53,31,19,0,8,16,5,0,398,12.6,1604
2015,John Tavares,25,C,NYI,78,33,37,70,6,38,26,7,0,5,25,12,0,250,13.2,1560
2015,Nicklas Backstrom,28,C,WSH,75,20,50,70,17,36,17,3,0,4,23,27,0,129,15.5,1439
2015,Patrice Bergeron,30,C,BOS,80,32,36,68,12,49,19,12,1,6,21,13,2,282,11.3,1587
2015,Claude Giroux,28,C,PHI,78,22,45,67,-8,53,15,6,1,5,23,21,1,241,9.1,1603
2015,Kris Letang,28,D,PIT,71,16,51,67,9,66,11,5,0,2,26,22,3,218,7.3,1913
2015,Nikita Kucherov,22,RW,TBL,77,30,36,66,9,30,21,9,0,4,20,16,0,209,14.4,1402
2015,Jaromir Jagr,43,RW,FLA,79,27,39,66,23,48,22,5,0,4,33,6,0,143,18.9,1349
2015,Taylor Hall,24,LW,EDM,82,26,39,65,-4,54,22,4,0,6,31,8,0,286,9.1,1575
2015,Steven Stamkos,25,C,TBL,77,36,28,64,3,38,21,14,1,8,17,9,2,216,16.7,1521
2015,Filip Forsberg,21,LW,NSH,82,33,31,64,1,47,24,8,1,3,16,15,0,247,13.4,1562
2015,Max Pacioretty,27,LW,MTL,82,30,34,64,-10,34,21,8,1,6,25,9,0,303,9.9,1519
2015,Kyle Okposo,27,RW,NYI,79,22,42,64,-4,51,15,7,0,4,26,16,0,202,10.9,1438
2015,Jason Spezza,32,C,DAL,75,33,30,63,4,22,24,9,0,7,15,15,0,202,16.3,1239
2015,Loui Eriksson,30,RW,BOS,82,30,33,63,13,12,18,10,2,5,25,7,1,184,16.3,1598
2015,Sean Monahan,21,C,CGY,81,27,36,63,-6,18,20,7,0,5,23,13,0,197,13.7,1552
2015,David Krejci,29,C,BOS,72,17,46,63,4,32,13,4,0,3,29,14,3,143,11.9,1462
2015,Ryan Getzlaf,30,C,ANA,77,13,50,63,14,55,7,6,0,5,33,16,1,178,7.3,1502
2015,Corey Perry,30,RW,ANA,82,34,28,62,2,68,22,12,0,6,16,12,0,215,15.8,1452
2015,Jeff Carter,31,C,LAK,77,24,38,62,18,20,19,4,1,6,29,8,1,242,9.9,1416
2015,Brad Marchand,27,LW,BOS,77,37,24,61,21,90,27,6,4,6,20,2,2,250,14.8,1432
2015,Mark Scheifele,22,C,WPG,71,29,32,61,16,48,22,7,0,3,28,4,0,194,14.9,1317
2015,Daniel Sedin,35,LW,VAN,82,28,33,61,7,36,20,8,0,6,21,11,1,258,10.9,1503
2015,Mats Zuccarello,28,RW,NYR,81,26,35,61,2,34,19,7,0,4,24,11,0,166,15.7,1497
